Node_Type,Node_Label,LSiteName,LSiteId,Enabled,Involved,DB_Kind,Life_Cycle_State,Admin_State,Sync_State,Actual_VId,Expected_VId
fire,PSITOD-00008.P,SITOD2008,4,N,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00007.P,SITOD2008,4,N,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00013.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1594718957000,1594718957000
fire,PSITOD-00012.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1594718957000,1594718957000
fire,PSITOD-00011.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1594718957000,1594718957000
fire,PSITOD-00008.B,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00007.B,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00006.B,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00005.B,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOB-00003.P,SITOB2008,2,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00001.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00002.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOB-00002.P,SITOB2008,2,Y,0,pg,available,unlocked,insync,1568972722000,1568972722000
fire,PSITOD-00014.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOC-00003.P,SITOC2008,3,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOC-00012.P,SITOC2008,3,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00006.P,SITOD2008,4,N,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOG-00001.P,SITOG2008,9,N,0,pg,available,unlocked,insync,1565184562000,1565184562000
fire,PSITOC-00002.P,SITOC2008,3,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOB-00021.P,SITOB2008,2,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOB-00001.P,SITOB2008,2,Y,0,pg,available,unlocked,insync,1602599611000,1602599611000
fire,PSITOB-00022.P,SITOB2008,2,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOC-00001.P,SITOC2008,3,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOC-00011.P,SITOC2008,3,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00005.P,SITOD2008,4,N,0,pg,available,unlocked,insync,1602599611000,1602599611000
fire,PSITOD-00015.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOG-00001.B,SITOG2008,9,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00016.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00004.B,SITOD2008,4,N,0,pg,available,unlocked,insync,1542902194000,1542902194000
fire,PSITOD-00003.B,SITOD2008,4,N,0,pg,available,unlocked,insync,1542902194000,1542902194000
fire,PSITOD-00002.B,SITOD2008,4,N,0,pg,available,unlocked,insync,1568973174000,1568973174000
fire,PSITOD-00001.B,SITOD2008,4,N,0,pg,available,unlocked,insync,1568973174000,1568973174000
fire,PSITOD-00004.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOD-00003.P,SITOD2008,4,Y,0,pg,available,unlocked,insync,1595855069000,1595855069000
fire,PSITOG-00001.E,SITOG2008,9,N,1,pg,available,locked,notinsync,0,1554725176000
fleas,12431SISISVT (FL0000000018),SITOB2008,2,,0,,available,unlocked,insync,1462201874000,1462201874000
fleas,20000XRNIG3T (FL0000000015),SITOB2008,2,,0,,available,unlocked,insync,1565771071000,1565771071000
fleas,31000SMARTIT (FL0000000017),SITOC2008,3,,0,,available,unlocked,insync,1574089975000,1574089975000
fleas,400012RNIG4T (FL0000000005),SITOD2008,4,,0,,available,unlocked,insync,1574089975000,1574089975000
fleas,400002RNIG1T (FL0000000004),SITOD2008,4,,0,,available,unlocked,insync,1569593122000,1569593122000
fleas,55555SMARTIT (FL0000000019),SITOG2008,9,,0,,available,unlocked,insync,1556634326000,1556634326000
femsws,JSITOAES009P,SITOA2008,1,Y,0,pg,available,unlocked,insync,1594220272000,1594220272000
femsws,JSITOAEC005P,SITOA2008,1,Y,0,pg,available,unlocked,insync,1597849129000,1597849129000
femsws,JSITODWC001B,SITOD2008,4,Y,0,pg,available,unlocked,insync,1558431281000,1558431281000
femsws,J88517ES005P,88517TEST,8,Y,0,pg,available,locked,insync,1598003201000,1598003201000
femsws,J88517ES003P,88517TEST,8,Y,0,pg,available,unlocked,insync,1590586025000,1590586025000
femsws,J88517ES002P,88517TEST,8,Y,0,pg,available,unlocked,insync,1558431281000,1558431281000
femsws,J88517EC005P,88517TEST,8,Y,0,pg,available,unlocked,insync,1595843705000,1595843705000
femsws,J88517EC003P,88517TEST,8,Y,0,pg,available,unlocked,insync,1594220739000,1594220739000
femsws,J88517EC001P,88517TEST,8,Y,0,pg,available,unlocked,insync,1561371112000,1561371112000
femsws,JSITOGEC001P,SITOG2008,9,N,1,pg,planned,unlocked,insync,0,0
