SITO;Server PARTENZA;SITOARR;Server ARRIVO;stato instanze;Flag2;FemsId/Fire;Colonna1;COLONNA12;TIPO FEMS2;EASID2;EP utilizzato;ROLE2;EP utilizzato3;Performance;Vers;IP;Colonna22;NOTE
SITOD;GSITOD200803;SITOD;FSITODSNDA01;macchina buttata - comunicata a Men;;PSITOD00007P;;;FIRE;400012RNIG4T;;;SI; ;10.01000.00245.00001;10.201.159.111;10.201.159.111;FL0000000005
SITOD;GSITOD200803;SITOD;FSITODSNDA01;macchina buttata - comunicata a Men;;PSITOD00008P;;;FIRE;400012RNIG4T;;;SI; ;10.01000.00245.00001;10.201.159.111;10.201.159.111;FL0000000005
SITOD;GSITOD200803;SITOD;FSITODSNDA01;macchina buttata - comunicata a Men; ;PSITOD00011P;;;FIRE;400012RNIG4T;;;SI;SI;10.01000.00245.00001;10.201.159.111;10.201.159.111;FL0000000005
SITOD;GSITOD200803;SITOD;FSITODSNDA01;macchina buttata - comunicata a Men; ;PSITOD00012P;;;FIRE;400012RNIG4T;;;SI;SI;10.01000.00245.00001;10.201.159.111;10.201.159.111;FL0000000005
SITOD;GSITOD200803;SITOD;FSITODSNDA01;macchina buttata - comunicata a Men; ;PSITOD00013P;;;FIRE;400012RNIG4T;;;SI;SI;10.01000.00245.00001;10.201.159.111;10.201.159.111;FL0000000005
SITOF;GSITOF200801;SITOF;ZSITOASNDA01;macchina buttata - comunicata a Men; ;PSITOD00001P;;;FIRE;400002RNIG1T;;;SI; ;10.01000.00085.00001;10.203.253.120;10.203.253.120;FL0000000004 -  
SITOF;GSITOF200801;SITOF;ZSITOASNDA01;macchina buttata - comunicata a Men;;PSITOD00002P;;;FIRE;400002RNIG1T;;;SI; ;10.01000.00085.00001;10.203.253.120;10.203.253.120;FL0000000004
SITOA;KSITOA200804;SITOG;GSITOG201601;macchina buttata - comunicata a Men;;FSSITOAMF504;J8504SMARTIT;;JAVAMQ;J8504SMARTIT;;pri;SI; ;10.01000.00245.00001;10.6.37.157;10.200.98.108;virtuale
SITOA;KSITOA200804;SITOG;GSITOG201601;macchina buttata - comunicata a Men;;FSSITOAMF604;22210SMARTIT;;JAVAMQ;22210SMARTIT;;pri;SI; ;10.01000.00245.00001;10.6.37.157;10.200.98.108;Open Java 11 su AMQ
SITOA;USITOA200823 ;SITOA;ZSITOG201601;macchina buttata - comunicata a Men;IBM; JSITOAEC005P;;;FEMSWS;;;;;;10.01000.00245.00001;10.6.37.157;10.201.158.124;
SITOG;ZSITOG200801;SITOG;GSITOG201601;istanza da cancellare;;FSSITOGMF807;55555SMARTIT;;JAVAMQ;55555SMARTIT;;pri;SI; ;10.01000.00245.00001;10.6.37.158;10.6.37.134;IN USITOG200814
SITOG;GSITOG200802; ;GSITOG200802;macchina buttata - comunicata a Men;;JSITOAWC012P;;;FEMSWS;;;;; ; ;;10.6.37.133;
SITOC;USITOC200820;SITOC;GSITOG201607;DA SPOSTARE SU VM NUOVO;C HSM;FVSITOCMF315;31500DEPGW1C ;;JAVAMQT2SG;31500DEPGW1C;;pri;SI; ;9.02E+15;10.200.100.124;10.200.100.124;
SITOC;USITOC200820;SITOC;GSITOG201607;DA SPOSTARE SU VM NUOVO;C HSM;FVSITOCMF475;37500DEPGW2C;;JAVAMQT2SG;37500DEPGW2C;;pri;SI; ;9.02E+15;10.200.100.124;10.200.100.124;
SITOG;GSITOG200803;SITOG;HSITOG201606;DA SPOSTARE;;FSSITOAMF201;22220SMARTIT;;JAVAMQ;22220SMARTIT;;bkp;SI; ;9.2000.1931.1;10.6.37.143;10.6.37.143; 
SITOG;GSITOG200803;SITOG;HSITOG201606;DA SPOSTARE;;FSSITOAMF815;;;CICSMQ;10001XRNIG5T;;pri;SI ; ;9.2000.1931.1;10.6.37.143;10.6.37.143;
SITOG;GSITOG200803;SITOG; ;istanza da cancellare;;FVSITOAMF118;;;CICSMQ;10000XRNIG2T;;pri;SI; ;9.2000.1931.1;10.6.37.143;10.6.37.143;server diverso su foglio max
SITOA;KSITOF200802;SITOF;GSITOG201602;macchina buttata - comunicata a Men; ;PSITOC00012P;;;FIRE;31000SMARTIT;;;SI;SI;10.01000.00245.00001;10.203.253.125;10.201.158.120;FL0000000017
SITOA;USITOA200824 ;SITOG;GSITOG201602;macchina buttata - comunicata a Men;IBM;JSITOAES009P;;;FEMSWS;;;;; ;10.01000.00160.00001;10.6.37.158;;
SITOA;ZSITOA200806;SITOF;GSITOG201602;macchina buttata - comunicata a Men;IBM;PSITOC00003P;;;FIRE;31000SMARTIT;;;SI; ;10.01000.00160.00001;10.6.37.158;10.201.158.120;FL0000000017 - MANCA PSITOB00021P(FIRE)
SITOC;ZSITOC200816;SITOG;GSITOG201602;DA SPOSTARE;OK;PSITOD00014P;;;FIRE;400002RNIG1T 400012RNIG4T;400012RNIG4T;;SI;SI;10.01000.00160.00001;10.201.165.103;10.201.165.103;"FL0000000004
Verificare virtuali"
SITOG;HSITOG200804;;;macchina buttata - comunicata a Men;HSM;FVSITODMF142;42000JEAS02D;;JAVAMQ;42000JEAS02D;;pri ;; ;;;10.6.37.125;si pu• recuperare lo SI-STD
SITOG;HSITOG200805;SITOC;HSITOG201610;macchina buttata - comunicata a Men;C HSM;FVSITODMF445;44000JEAS04D; ;JAVAMQT2S;44500DEPIN2D;;pri;SI; ;10.01000.00160.00001;10.6.37.126;10.6.37.126;
SITOG;HSITOG200805;SITOG;;macchina buttata - comunicata a Men;C HSM;FVSITODMF143;43000JEAS03D;;JAVAMQ;43000JEAS03D;;pri;; ;9.2000.1931.1;10.6.37.100;10.6.37.126;
SITOG;HSITOG200805;;;macchina buttata - comunicata a Men;HSM;FVSITODMF144; ;;JAVAMQ;44000JEAS04D;;pri;; ;;;10.6.37.126;si pu• recuperare lo SI-STD
SITOG;HSITOG201605;SITOG;HSITOG201605;gi… 2016;;FVSITODMF804;;;CICSMQ;400002RNIG1T;;emr;si;;10.01000.00105.00002;10.6.37.145;;
SITOC;USITOC200821;SITOC;GSITOG201607;DA SPOSTARE SU VM NUOVO;C HSM;FVSITOCMF375;37500DEPGW2C;;JAVAMQT2S;37500DEPGW2C;;pri;SI; ;9.02E+15;10.200.100.125;10.200.100.125;
SITOA;KSITOA200803;  ;KSITOA200803;istanza da cancellare;;JSITOAWC004P ;;;FEMSWS;;;;;;;;10.200.98.101;
SITOA;KSITOA200803;SITOA;KSITOA200803;istanza da cancellare;;ISSITOAMF803;;;FEI;88503FMSIM1T;;;si; ;8.15100.1081.1;10.201.158.118;10.200.98.101;
SITOA;KSITOA200803; ;KSITOA200803;istanza da cancellare;;FSSITOAMF103;;;JAVAMQ;16000JEAS01A;;pri;; ;;;10.200.98.101;
SITOA;KSITOA200803; ;;;;JSITOAWC001B;;;FEMSWS;;;;;;;;10.200.98.101; 
SITOA;KSITOA200803; ;;;;JSITOAWS001P;;;FEMSWS;;;;;;;;10.200.98.101;
SITOA;KSITOA200804;SITOA;KSITOA200804;macchina buttata - comunicata a Men; ;ISSITOAMF804;;;FEI;88504FMSIM2T;;;SI; ;8.15100.1081.1;10.200.98.108;10.200.98.108;
SITOG;HSITOG200804;SITOC;GSITOG201603;macchina buttata - comunicata a Men;C HSM;FVSITODMF415;41500DEPIN1D ;;JAVAMQT2S;41500DEPIN1D;;pri;SI; ;10.01000.00105.00002;10.6.37.125;10.6.37.125;
SITOG;HSITOG200804;SITOC;GSITOG201603;macchina buttata - comunicata a Men;C HSM;FVSITODMF435;43500DEPIN3D;;JAVAMQT2S;43500DEPIN3D;;pri;SI; ;10.01000.00105.00002;10.6.37.125;10.6.37.125;
SITOB;KSITOB200802;SITOB;KSITOB200802;macchina buttata - comunicata a Men;IBM;ISSITOBMF115;;;FEI;03595FMSIM1T;;GRS;SI; ;8.15100.1081.1;10.200.99.105;10.200.99.105;manca FSSITOBMF802(FEMSMQ)
SITOB;KSITOB200802;SITOB;KSITOB200802;macchina buttata - comunicata a Men;IBM;ISSITOBMF150;;;FEI;03595FMSIM2T;;GRS;SI; ;8.15100.1081.1;10.200.99.105;10.200.99.105;
SITO C;HSITOG200804;SITOC;GSITOG201603;macchina buttata - comunicata a Men;C HSM;FVSITOCMF251;;;JAVAMQT2SG;83400DEPGW4T;;;;;10.01000.00105.00002;10.6.37.125;;
SITO G;HSITOG200804;SITOC;GSITOG201603;macchina buttata - comunicata a Men;C HSM;FVSITOGMF111 ;;;JAVAMQT2S;83100DEPIN4T;;;;;10.01000.00105.00002;10.6.37.125;;
SITOA;ZSITOA200806;SITOF;GSITOG201604;macchina buttata - comunicata a Men;IBM;PSITOC00001P;;;FIRE;31000SMARTIT;;;SI; ;10.01000.00245.00001;10.6.37.158;10.201.158.120;FL0000000017
SITOA;ZSITOA200806;SITOF;GSITOG201604;macchina buttata - comunicata a Men;IBM;PSITOC00011P;;;FIRE;31000SMARTIT;;;SI;SI;10.01000.00245.00001;10.6.37.158;10.201.158.120;FL0000000017
SITOG;KSITOG200807;SITOG;HSITOG201611;DA SPOSTARE  (NODO);; J88517ES005P;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.117;10.6.37.117;
SITOB;KSITOB200807; ;;; ;ISSITOBMF807;;;FEI;24000FMSIMQT;;;;;;;10.200.99.111;
SITOB;KSITOB200807; ;;; ;ISSITOBMF808;;;FEI;23110FMSIMQT;;;;;;;10.200.99.111;
SITOB;KSITOB200807; ;;; ;ISSITOBMF809;;;FEI;12431FMSIMQT;;;;;;;10.200.99.111;
SITOB;KSITOB200816;SITOB;KSITOB200816;macchina buttata - comunicata a Men;;ISSITOBMF116;;;FEI;03268FMSIM3T;;GRS;SI; ;8.15100.1081.1;10.200.99.119;10.200.99.119;
SITOB;KSITOB200816;SITOB;KSITOB200816;macchina buttata - comunicata a Men;;ISSITOBMF160;;;FEI;03268FMSIM4T;;GRS;SI; ;8.15100.1081.1;10.200.99.119;10.200.99.119;
SITOC;KSITOC200806; ;KSITOC200806;macchina buttata - comunicata a Men;;FSSITOCMF106;;;JAVAMQ;36000JEAS01C;;pri;; ;;;10.201.165.102;
SITOA;KSITOC200806;SITOC; ;macchina buttata - comunicata a Men;IBM;FVSITOAMF113;;;CICSMQ;10000XRNIG2T;;pri;SI;;9.2000.1931.1;10.201.165.102;10.201.158.124; 
SITOC;KSITOC200806; ;;; ;ISSITOCMF806;;;FEI;34000FMSIMQT;;;;;;;10.201.165.102;mancano ISSITOCMF852(FEMSIDRV). ISSITOCMF853(FEMSIDRV
SITOC;KSITOC200806; ;;; ;ISSITOCMF807;;;FEI;39000FMSIMQT;;;;; ;;10.201.165.102;
SITOC;KSITOC200806; ;;; ;ISSITOCMF808;;;FEI;39200FMSIMQT;;;;; ;;10.201.165.102;
SITOC;KSITOF200801;SITOF;KSITOF200801;macchina buttata - comunicata a Men;C HSM;FVSITOCMF132;32000JEAS04C ;;JAVAMQ;32000JEAS04C;;pri;; ;9.2000.1931.1 ;10.203.253.123;10.200.100.124;manca in elenco matteo
SITOF;KSITOF200801; ;;;VUOTO G6;PSITOF00005P;;;FIRE;;;;;; ;;10.203.253.123;solo su foglio matteo
SITOF;KSITOF200801;;;;VUOTO G6;PSITOF00006P;;;FIRE;;;;;;;;10.203.253.123;solo su foglio matteo
SITOG;GSITOG200801;SITOG;GSITOG201606;macchina da buttare;;PSITOD00005B;;;FIRE;400012RNIG4T;;;SI; ;9.2000.1931.1;10.6.37.132;10.6.37.132;BK - FL0000000005
SITOF;KSITOF200802; ;;;VUOTO G6;PSITOF00007P;;;FIRE;;;;;;;;10.203.253.125;solo su foglio matteo
SITOF;KSITOF200802; ;;;VUOTO G6;PSITOF00008P;;;FIRE;;;;;;;;10.203.253.125;solo su foglio matteo
SITOA;KSITOA200803;SITOA;201603;DA SPOSTARE SU VM NUOVO;;FSSITOAMF503;J8503SMARTIT;;JAVAMQ;J8503SMARTIT;;pri;; ;9.2000.1931.1;10.200.98.101;10.200.98.101;
SITOG;KSITOG200802;SITOG;ZSITOCSNDA01 ;DA SPOSTARE;;FSSITOBMF802;;;CICSMQ;20001XRNIG8T;;pri;SI; ;9.2000.1931.1;10.6.37.100;10.6.37.100;
SITOG;KSITOG200807;SITOG;HSITOG201610;istanza da cancellare;;J88517EC003P;;;FEMSWS;;;;; ;10.01000.00160.00001;10.6.37.116;10.6.37.116;
SITOG;KSITOG200807;SITOG;GSITOG201605;istanza da cancellare;;J88517EC005P;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.116;10.6.37.116;
SITOG;KSITOG200807;SITOG;KSITOG200807;istanza da cancellare;;J88517EC001P;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.116;10.6.37.116;
SITOG;KSITOG200807;SITOG;KSITOG200807;istanza da cancellare;;JSITOAES006B;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.116;10.6.37.116;
SITOG;KSITOG200807;SITOG;KSITOG200807;istanza da cancellare;;JSITODWC001B;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.116;10.6.37.116; 
SITOG;KSITOG200808;SITOG; ;macchina buttata - comunicata a Men;;J88517ES003P;;;FEMSWS;;;;; ;10.01000.00160.00001;10.6.37.117;10.6.37.117;
SITOG;KSITOG200808;SITOG;KSITOG200808;macchina buttata - comunicata a Men;;J88517ES002P;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.117;10.6.37.117;
SITOG;KSITOG200808;SITOG;KSITOG200808;macchina buttata - comunicata a Men;;JSITOAEC007P;;;FEMSWS;;;;; ;9.2000.1931.1;10.6.37.117;10.6.37.117; 
SITOG;GSITOG200801;SITOG;GSITOG201606;macchina da buttare;;PSITOD00006B;;;FIRE;400012RNIG4T;;;SI; ;9.2000.1931.1;10.6.37.132;10.6.37.132;BK - FL0000000005
SITOG;NSITOG200815;;;;VUOTO C (no V);;;;;;;;;;;;;
SITOG;NSITOG200816;;;;VUOTO C (no V);;;;;;;;;;;;;
CENTRALE;PDCBCKLAB01;CENTRALE;PDCBCKLAB01;;;;;;;;;;;;;10.6.24.28;;
CENTRALE;PDCPRILAB01;CENTRALE;PDCPRILAB01;;;;;;;;;;;;;10.6.23.28;;
CENTRALE;PDCPRILAB03;CENTRALE;PDCPRILAB03;;;;;;;;;;;;;10.6.23.37;;Accentratore (NUOVO)
SITO A;USITOA200813;;;;VUOTO C;;;;;;;;;;;;;
SITO A;USITOA200814;;;;VUOTO C;;;;;;;;;;;;;
SITOG;GSITOG200801;SITOG;GSITOG201606;macchina da buttare;;PSITOD00007B;;;FIRE;400012RNIG4T;;;SI; ;9.2000.1931.1;10.6.37.132;10.6.37.132;BK - FL0000000005
SITOA;USITOA200823 ;;USITOA200823 ;macchina buttata - comunicata a Men;IBM;FVSITOAMF813;;;JAVAMQ;18000JEAS03A;;pri;; ;;;10.201.158.124;
SITOA;USITOA200823  ;;USITOA200823  ;macchina buttata - comunicata a Men;IBM;JSITOAWC001P;;;FEMSWS;;;;;;;;10.201.158.124; 
SITOG;GSITOG200801;SITOG;GSITOG201606;macchina da buttare;;PSITOD00008B;;;FIRE;400012RNIG4T;;;SI; ;9.2000.1931.1;10.6.37.132;10.6.37.132;BK - FL0000000005
SITOA;USITOA200824 ;;USITOA200824 ;macchina buttata - comunicata a Men;IBM;JSITOAWS002P;;;FEMSWS;;;;;;;;10.201.158.125;
SITOA;USITOA200824 ;;USITOA200824 ;macchina buttata - comunicata a Men;IBM;FVSITOAMF814;;;JAVAMQ;19000JEAS04A;;pri;;;;;10.201.158.125;
SITOB;USITOB200815;SITOF;ZSITOASNDA01;macchina buttata - comunicata a Men;IBM;PSITOB00003P;;;FIRE;20000XRNIG3T;;;SI; ;10.01000.00085.00001;10.200.99.103;10.200.99.103;FL0000000015 -- MANCA FIRE PSITOB00001P(FIRE) Utilizzato da Giorgio per Feng10 si trova sulla zsitol2001601
SITOB;USITOB200816;SITOF;ZSITOASNDA01;macchina buttata - comunicata a Men;IBM;PSITOB00002P;;;FIRE;12431SISISVT;;pri; ; ;10.01000.00085.00001;10.200.99.104;10.200.99.104;FL0000000018
SITOA;ZSITOA200803;SITOC;201603;DA SPOSTARE SU VM NUOVO;IBM;FSSITOAMF172;;;CICSMQ;10000XRNIG2T;;emr;SI; ;9.2000.1931.1;10.200.98.101;10.201.158.118;
SITOA;ZSITOA200803;SITOC;201603;DA SPOSTARE SU VM NUOVO;IBM;FSSITOAMF865;;iconsia;CICSMQ;10001XRNIG5T;;bkp;SI; ;9.2000.1931.1;10.200.98.101;10.201.158.118;
SITOD;ZSITOD200801;SITOD;201603;DA SPOSTARE SU VM NUOVO;;FVSITOAMF130;22222SMARTIT;;JAVAMQ;22222SMARTIT;;pri;SI; ;9.2000.1931.1-OK;10.201.159.100;10.201.159.100;
SITOG;KSITOG200802;SITOG;ZSITOCSNDA01 ;DA SPOSTARE ;C HSM;FVSITODMF141;41000SMARTIT;;JAVAMQ;41000SMARTIT;;pri;SI; ;9.2000.1931.1;10.6.37.100;10.6.37.125;
SITOC;USITOB200834;SITOB;USITOB200834;istanza da cancellare;C HSM;FVSITOCMF361;36150JEAS05C;;JAVAMQ;36150JEAS05C;;pri;; ;9.2000.1931.1;10.200.99.118;10.200.100.125;
SITOC;USITOB200834;SITOB;USITOB200834;istanza da cancellare;C HSM;FVSITOCMF371;37150JEAS06C;;JAVAMQ;37150JEAS06C;;pri;; ;9.2000.1931.1;10.200.99.118;10.200.100.125;
SITOC;USITOC200811;SITOC; ;istanza da cancellare;C G5;FVSITOCMF114;;;CICSMQ;300003RNIG1T;;emr;SI; ;9.2000.1931.1;10.200.100.108;10.200.100.108;non ha installato FENG in elenco matteo
SITOA;USITOB200833;SITOB;GSITOG201608;DA SPOSTARE SU VM NUOVO;IBM;FVSITOAMF114;;;CICSMQ;10000XRNIG2T;;pri;SI; ;9.2000.1931.1;10.200.99.117;10.201.158.125; 
SITOB;USITOB200833;SITOB;GSITOG201608;DA SPOSTARE SU VM NUOVO;IBM;FVSITOBMF804;;;CICSMQ;20000XRNIG3T;;bkp;SI; ;9.2000.1931.1;10.200.99.117;10.200.99.103;XS1RNIG3
