macchina da buttare;IP;Fisico_Virtuale;note;Eliminata
CSITOA200822;10.201.158.112;F;cluster;
CSITOB200814;10.200.99.102;F;cluster;
CSITOG200803;10.6.37.124;F;cluster;
GSITOD200803;10.201.159.111;F;;Y
GSITOF200801;10.203.252.120;F;;Y
GSITOG200801;10.6.37.132;F;;Y
GSITOG200802;10.6.37.133;F;;Y
HSITOG200804;10.6.37.125;F;cluster virtuale;Y
HSITOG200805;10.6.37.126;F;cluster virtuale;Y
KSITOA200804;;;;Y
KSITOB200802;;;;Y
KSITOB200816;;;;
KSITOC200806;;;;Y
KSITOF200801;;;;Y
KSITOF200802;;;;
KSITOG200807;;;;Y
KSITOG200808;;;;Y
NSITOA200820;;;nodo;
NSITOA200821;;;nodo;
NSITOB200812;;;nodo;
NSITOB200813;;;nodo;
NSITOG200801;;;nodo;
NSITOG200802;;;nodo;
NSITOG200815;;;nodo senza virtuali;
NSITOG200816;;;nodo senza virtuali;
PCP_HTTP_3;;;;
USITOA200823;;;cluster virtuale;Y
USITOA200824;;;cluster virtuale;Y
USITOB200815;;;cluster virtuale;Y
USITOB200816;;;cluster virtuale;Y
USITOB200833-BI;;;non so a quale nodo fisico Š associato;
XMSPRILAB08;;;;
ZSITOA200802;;;;
ZSITOA200806;;;;
ZSITOA200852;;;;
ZSITOD200802;;;;
ZSITOG200803;;;;
ZSITOLLABB01;;;;
