macchina;tipo macchina;spostare in;istanze;tipo istanza;easid;ruolo;performance;versione ;ip;SO;note;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSITODSNDA01;5 fire;;PSITOD00007P;FIRE;400012RNIG4T; ;;10.010.000.029.400.000;10.201.159.111;gen-08;10.201.159.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSITODSNDA01;5 fire;;PSITOD00008P;FIRE;400012RNIG4T; ;;10.010.000.029.400.000;10.201.159.111;gen-08;10.201.159.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSITODSNDA01;5 fire;;PSITOD00011P;FIRE;400012RNIG4T; ;SI;10.010.000.029.400.000;10.201.159.111;gen-08;10.201.159.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSITODSNDA01;5 fire;;PSITOD00012P;FIRE;400012RNIG4T; ;SI;10.010.000.029.400.000;10.201.159.111;gen-08;10.201.159.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSITODSNDA01;5 fire;;PSITOD00013P;FIRE;400012RNIG4T;;SI;10.010.000.029.400.000;10.201.159.111;gen-08;10.201.159.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG200806;prove installaz;;;;;;;prove insttallaz 10.x;10.6.37.118;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201601;3 mq ;;FSSITOAMF504;JAVAMQ;J8504SMARTIT;pri; ;10.01000.00294.00001;10.6.37.157;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201601;3 mq ;;FSSITOGMF807;JAVAMQ;55555SMARTIT;pri; ;10.01000.00294.00001;10.6.37.157;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201601 ;3 mq ;;FSSITOAMF604;JAVAMQ;22210SMARTIT;pri; ;10.01000.00294.00001;10.6.37.157;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201602;3 fire;spostare HSITOG201611;JSITOAES009P;FEMSWS;;; ;10.01000.00294.00001;10.6.37.158;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201602;3 fire;;PSITOC00003P;FIRE;31000SMARTIT;; ;10.01000.00294.00001;10.6.37.158;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201602;3 fire;;PSITOD00014P;FIRE;400002RNIG1T 400012RNIG4T;;SI;10.01000.00294.00001;10.6.37.158;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201602;3 fire;;PSITOC00012P;FIRE;31000SMARTIT;;SI;10.01000.00294.00001;10.6.37.158;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201603 ;4 t2s;;FVSITODMF415;JAVAMQT2S;41500DEPIN1D;;; 10.01000.00105.00002;10.6.37.163;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201603 ;4 t2s;;FVSITODMF435;JAVAMQT2S;43500DEPIN3D;;; 10.01000.00105.00002;10.6.37.163;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201603 ;4 t2s;;FVSITOCMF211 ;JAVAMQT2SG;83400DEPGW4T;pri;; 10.01000.00105.00002;10.6.37.163;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201603 ;4 t2s;;FVSITOGMF111 ;JAVAMQT2S;83100DEPIN4T;pri;; 10.01000.00105.00002;10.6.37.163;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201604 ;2 fire;;PSITOC00001P;FIRE;31000SMARTIT;;;10.01000.00294.00001;10.6.37.164;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
