Server;OS;Model;RIRIDEC version;IBM MQ version 64bit;HP_PSP_Version;MSMQ Wait time;MSMQ Machine Quota;MSMQ EveryoneSend;IBM MQ version 32bit ;Cluster Service;MSMQ Depend ;SQL Dependences;MSMQ Hot Fix;MSDTC Hot Fix;FEMS Version;TCPIP.sys version;w32tm_MaxPollInterval_Member;w32tm_MinPollInterval_Member;w32tm_PollAdjustFactor_Member;DNS_Server;RPC_ports;DNS Hot Fix;Attacco_Porta_UDP_Chiusa;SQL SP3 Single Server;SQL SP3 Nodi Cluster;Patch Semaphore;Patch P2000 (Cluster G7);MSMQ LongLiveTime;Manifest Version;Patch_Time_Wait;Backup_System_State;Numero CPU Core Type;RAM;Deep Security Version;Patch Kerberos;PostgreSQL check version;FONTS OpenType - System32;FONTS OpenType - SysWOW64;Tcpip V6 Disabled;Ip Address;ActiveMQ;
CSITOB200832;2008 Ent 64-bit;ProLiant DL370 G6 ;No;;No;;;;;;;;;;No;;10;6;5;No;Y;;;;;;;7776000;;No;;;;No;Yes;;No;No;-1;;No;
CSITOD200809;2008 Ent 64-bit;ProLiant DL370 G6 ;No;;No;;;;;;;;;;No;;15;10;5;No;Key Not Found;;;;;;;7776000;;Yes;;;;No;Yes;;No;No;-1;;No;
GSITOD200803;10.0.14393|Microsoft Windows Server 2016 Standard;ProLiant DL380p Gen8 ;23.0.6.1;8.0.0.9;10.60.0.0;4000;1048576;1;;;No;No;No;No;10.1000.294.1;10.0.14393.3866;10;6;5;No;Key Not Found;No;No;No;;;;7776000;;No;No;CPU:1|Core:4|Type:Intel(R) Xeon(R) CPU E5-2609 v2 @ 2.50GHz;24 GB;11.0.0.1617;No;9.6.3;Yes;Yes;Key Not Found;;No;
GSITOG200803;6.1.7601|Microsoft Windows Server 2008 R2 Standard ;ProLiant ML370 G5 ;22.0.0.1;7.0.1.2;No;4000;4194304;1;;;No;No;No;No;9.2000.1931.1;6.1.7601.24452;15;10;5;No;Key Not Found;No;No;No;;;;7776000;;No;No;CPU:1|Core:2|Type:Intel(R) Xeon(R) CPU5150@ 2.66GHz;8 GB;No;Yes;9.3.4;Yes;Yes;-1;;No;
GSITOG200806;10.0.14393|Microsoft Windows Server 2016 Standard;VMware Virtual Platform None;23.0.3.1;8.0.0.9;No;Key Not Found;Key Not Found;Key Not Found;;;No;;No;No;10.1000.69.1;10.0.14393.2485;10;6;5;No;Key Not Found;No;No;No;;;;Key Not Found;;No;;CPU:2|Core:2|Type:Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz;4 GB;11.0.0.1514;No;9.6.3;Yes;Yes;Key Not Found;;No;
KSITOB200807;2008 Std 64-bit;ProLiant ML370 G5 ;22.0.0.0;7.0.1.2;8.40.0.0;4000;4194304;1;;;MSDTC;MSDTC;Yes;Yes;8.11304.408.1;6.0.6002.24464;15;10;5;Yes;Y;Yes;Yes;2007.100.6556.0;;;;7776000;;No;No;CPU:1|Core:2|Type:Intel(R) Xeon(R) CPU X5260@ 3.33GHz;10 GB;11.0.0.1617;Yes;POSTGRES NOT INSTALLED;Yes;Yes;-1;;No;
KSITOB200816;2008 Std 64-bit;ProLiant ML370 G5 ;22.0.0.0;7.0.1.2;8.40.0.0;4000;4194304;1;;;MSDTC;MSDTC;Yes;Yes;8.11304.408.1;6.0.6002.24464;15;10;5;Yes;Y;Yes;Yes;2007.100.6556.0;;;;7776000;;No;No;CPU:1|Core:2|Type:Intel(R) Xeon(R) CPU X5260@ 3.33GHz;4 GB;9.6.2.8708;Yes;POSTGRES NOT INSTALLED;Yes;Yes;-1;;No;
KSITOF200802;2008 Std 64-bit;ProLiant DL380 G6 ;22.0.0.1;7.0.1.2;8.40.0.0;4000;4194304;1;;;MSDTC;MSDTC;Yes;Yes;8.11304.408.1;6.0.6002.24445;15;10;5;Yes;Y;Yes;Yes;2007.100.6241.0;;;;7776000;;No;No;CPU:1|Core:4|Type:Intel(R) Xeon(R) CPU E5504@ 2.00GHz;6 GB;9.6.1.3500;Yes;POSTGRES NOT INSTALLED;Yes;Yes;-1;;No;
KSITOG200802;2008 Std 64-bit;VMware Virtual Platform None;22.0.0.1;7.0.1.2;No;4000;4194304;1;;;No;No;Yes;Yes;9.2000.1931.1;6.0.6002.24464;15;10;5;Yes;Key Not Found;No;No;2007.100.6556.0;;;;7776000;;Yes;No;CPU:1|Core:2|Type:Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz;8 GB;11.0.0.1514;Yes;9.3.8;Yes;Yes;-1;;No;
NETMANLAB80;2008 Std 32-bit;ProLiant ML370 G5 ;No;;8.15.0.0;;;;;;;;;;No;;15;10;5;No;Key Not Found;;;;;;;Key Not Found;;No;;;;9.6.2.9361;Yes;;Yes;No;Key Not Found;;No;
