LSiteId,LSiteName,FemsWsId,FemsWsLabel,UniqueNo,Enabled,Server_Kind,ServerId,PNodeId,CNodeId,NetPort,Involved,LifeCycleState,AdminState,DataCre
8,88517TEST,J88517EC005P,J88517.WC005.P,22,Y,standalone,GSITOG201605,GSITOG201605,,38025,0,available,unlocked, 22-set
8,88517TEST,J88517EC003P,J88517.WC003.P,20,Y,virtual,HSITOG201610,NSITOG201607,CSITOG201609,38025,0,available,unlocked, 22-set
8,88517TEST,J88517ES005P,J88517.WS005.P,23,Y,virtual,HSITOG201611,NSITOG201608,CSITOG201609,38001,0,available,locked, 22-set
8,88517TEST,J88517ES003P,J88517.WS003.P,21,Y,virtual,HSITOG201611,NSITOG201608,CSITOG201609,38000,0,available,unlocked, 22-set
1,SITOA2008,JSITOAES009P,JSITOA.WS009.P,42,Y,standalone,GSITOG201602,GSITOG201602,,38000,0,available,unlocked, 22-set
1,SITOA2008,JSITOAEC005P,JSITOA.WC005.P,40,Y,standalone,ZSITOG201601,ZSITOG201601,,38026,0,available,unlocked, 22-set
9,SITOG2008,JSITOGEC001P,JSITOG.WC001.P,43,N,standalone,GSITOG200806,GSITOG200806,,38025,1,planned,unlocked, 22-set
4,SITOD2008,JSITODWC001B,JSITOD.WC001.B,13,Y,standalone,KSITOG200807,KSITOG200807,,38026,0,available,unlocked, 22-set
8,88517TEST,J88517EC001P,J88517.WC001.P,38,Y,standalone,KSITOG200807,KSITOG200807,,38025,0,available,unlocked, 22-set
8,88517TEST,J88517ES002P,J88517.WS002.P,10,Y,standalone,KSITOG200808,KSITOG200808,,38000,0,available,unlocked, 22-set
