LogicalSite,Fems,Type,PhysicalSite,PNodeId,CNodeId,Involvement,LifeCycleState,AdministrativeState,DataCre
SITOA2008,FSSITOAMF103,Fems,SITOA2008,KSITOA200803,,Structure,Available,Disaster, 22-set
SITOA2008,FSSITOAMF120,Fems,SITOG2016,NSITOG201602,CSITOG201604,Structure,Available,Disaster, 22-set
SITOA2008,FSSITOAMF132,Fems,SITOD2008,NSITOD200807,CSITOD200809,Structure,Available,Unlocked, 22-set
SITOA2008,FSSITOAMF172,Fems,SITOA2008,KSITOA200803,,Structure,Available,Disaster, 22-set
SITOA2008,FSSITOAMF220,Fems,SITOL2016,ZSITOL201601,,Structure,Available,Disaster, 22-set
SITOA2008,FSSITOAMF503,Fems,SITOA2008,KSITOA200803,,Structure,Available,Disaster, 22-set
SITOA2008,FSSITOAMF865,Fems,SITOA2008,KSITOA200803,,Structure,Available,Disaster, 22-set
SITOA2008,FVSITOAMF130,Fems,SITOD2008,ZSITOD200801,,Structure,Available,Disaster, 22-set
SITOA2008,FVSITOAMF136,Fems,SITOG2008,GSITOG200803,,Structure,Available,Disaster, 22-set
SITOA2008,ISSITOAMF804,Femsi,SITOA2008,KSITOA200804,,Structure,Available,Unlocked, 22-set
SITOB2008,FVSITOBMF833,Fems,SITOB2008,NSITOB200830,CSITOB200832,Structure,Available,Unlocked, 22-set
SITOB2008,ISSITOBMF150,Femsi,SITOB2008,KSITOB200802,,Structure,Available,Disaster, 22-set
SITOC2008,FSSITOCMF802,Fems,SITOL2016,ZSITOL201601,,Structure,Available,Unlocked, 22-set
SITOD2008,FVSITODMF804,Fems,SITOG2016,NSITOG201602,CSITOG201604,Structure,Available,Disaster, 22-set
SITOG2008,FSSITOGMF106,Fems,SITOG2008,GSITOG200806,,Structure,Planned,Unlocked, 22-set
