IceId,Service,LSiteId,LSiteName,EasName,FLEasId,Pool,Ice,FireGroupId,RecoveryId,Fire_pri,Server_pri,Fire_bkp,Server_bkp,Fire_emr,Server_emr
FL000000001700005003,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00005,003,PSITOC00003,1516975085000,PSITOC00003P,GSITOG201602,,,,
FL000000001700005004,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00005,004,PSITOC00003,1516975085000,PSITOC00003P,GSITOG201602,,,,
FL000000001900001001,FL,9,SITOG2008,55555SMARTIT,FL0000000019,00001,001,PSITOG00001,1565184543000,PSITOG00001P,ZSITOG200801,PSITOG00001B,ZSITOC200816,PSITOG00001E,GSITOG200806
FL000000001900001002,FL,9,SITOG2008,55555SMARTIT,FL0000000019,00001,002,PSITOG00001,1565184543000,PSITOG00001P,ZSITOG200801,PSITOG00001B,ZSITOC200816,PSITOG00001E,GSITOG200806
FL000000001700006002,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00006,002,PSITOC00011,1542808708000,PSITOC00011P,GSITOG201604,,,,
FL000000001500001001,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00001,001,PSITOB00001,1560264033000,PSITOB00001P,ZSITOL201601,,,,
FL000000001500001002,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00001,002,PSITOB00001,1560264033000,PSITOB00001P,ZSITOL201601,,,,
FL000000001700005001,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00005,001,PSITOC00003,1516975085000,PSITOC00003P,GSITOG201602,,,,
FL000000001700005002,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00005,002,PSITOC00003,1516975085000,PSITOC00003P,GSITOG201602,,,,
FL000000000400006003,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00006,003,PSITOD00014,1561984698000,PSITOD00014P,GSITOG201602,,,,
FL000000000400006001,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00006,001,PSITOD00014,1561984698000,PSITOD00014P,GSITOG201602,,,,
FL000000000400006002,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00006,002,PSITOD00014,1561984698000,PSITOD00014P,GSITOG201602,,,,
FL000000000400009001,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00009,001,PSITOD00014,1561984698000,PSITOD00014P,GSITOG201602,,,,
FL000000000400007003,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00007,003,PSITOD00015,1542813602000,PSITOD00015P,ZSITOC200816,,,,
FL000000000400007001,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00007,001,PSITOD00015,1542813602000,PSITOD00015P,ZSITOC200816,,,,
FL000000000400007002,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00007,002,PSITOD00015,1542813602000,PSITOD00015P,ZSITOC200816,,,,
FL000000000400009002,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00009,002,PSITOD00015,1542813602000,PSITOD00015P,ZSITOC200816,,,,
FL000000000400008001,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00008,001,PSITOD00016,1542813607000,PSITOD00016P,ZSITOC200816,,,,
FL000000000400008002,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00008,002,PSITOD00016,1542813607000,PSITOD00016P,ZSITOC200816,,,,
FL000000000400008003,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00008,003,PSITOD00016,1542813607000,PSITOD00016P,ZSITOC200816,,,,
FL000000000400009003,FL,4,SITOD2008,400002RNIG1T,FL0000000004,00009,003,PSITOD00016,1542813607000,PSITOD00016P,ZSITOC200816,,,,
FL000000001700006001,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00006,001,PSITOC00011,1542808708000,PSITOC00011P,GSITOG201604,,,,
FL000000001700008001,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00008,001,PSITOC00011,1542808708000,PSITOC00011P,GSITOG201604,,,,
FL000000001700007001,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00007,001,PSITOC00012,1588171008000,PSITOC00012P,GSITOG201602,,,,
FL000000001700007002,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00007,002,PSITOC00012,1588171008000,PSITOC00012P,GSITOG201602,,,,
FL000000001700008002,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00008,002,PSITOC00012,1588171008000,PSITOC00012P,GSITOG201602,,,,
FL000000001500006001,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00006,001,PSITOB00021,1561561916000,PSITOB00021P,ZSITOL201602,,,,
FL000000001500008001,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00008,001,PSITOB00021,1561561916000,PSITOB00021P,ZSITOL201602,,,,
FL000000001500008002,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00008,002,PSITOB00022,1492000400000,PSITOB00022P,USITOC200812,,,,
FL000000001500007001,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00007,001,PSITOB00022,1492000400000,PSITOB00022P,USITOC200812,,,,
FL000000001500007002,FL,2,SITOB2008,20000XRNIG3T,FL0000000015,00007,002,PSITOB00022,1492000400000,PSITOB00022P,USITOC200812,,,,
FL000000000500014001,FL,4,SITOD2008,400012RNIG4T,FL0000000005,00014,001,PSITOD00014,1561984698000,PSITOD00014P,GSITOG201602,,,,
FL000000001700002001,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00002,001,PSITOC00001,1571909391000,PSITOC00001P,GSITOG201604,,,,
FL000000001700003001,FL,3,SITOC2008,31000SMARTIT,FL0000000017,00003,001,PSITOC00001,1571909391000,PSITOC00001P,GSITOG201604,,,,
