FleasId,FireId,ServerId,ProfileId,ProfileType
FL0000000004,,ZSITOC200816,FL0000000004LBLM1SA,ABQMGR
FL0000000004,,ZSITOE200802,FL0000000004QMGREASDATI1,ABQMGR
FL0000000004,,GSITOG201602,FL0000000004QMGREASDATI1,ABQMGR
FL0000000005,,GSITOG201602,FL0000000005LBLM2SA,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005QMGREASDATI2,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005QMGREASDATI9,ABQMGR
FL0000000015,,USITOC200812,FL0000000015QMGREASDATI3,ABQMGR
FL0000000015,,USITOC200812,FL0000000015QMGREASDATI5,ABQMGR
FL0000000017,,GSITOG201604,FL0000000017M1SA,ABQMGR
FL0000000017,,ZSITOL201602,FL0000000017M2SA,ABQMGR
FL0000000017,,GSITOG201604,FL0000000017QMGREASVIRTUALE3,ABQMGR
FL0000000017,,ZSITOL201602,FL0000000017QMGRSMIDATI5,ABQMGR
FL0000000019,,ZSITOG200801,FL0000000019QMGREASDATI6,ABQMGR
FL0000000019,,GSITOG200806,FL0000000019QMGREASDATI8,ABQMGR
FL0000000004,,ZSITOE200801,FL0000000004LBLM1SA,ABQMGR
FL0000000004,,ZSITOASNDA01,FL0000000004LBLM1SA,ABQMGR
FL0000000004,,ZSITOE200802,FL0000000004LBLM2SA,ABQMGR
FL0000000004,,GSITOG201602,FL0000000004LBLM2SA,ABQMGR
FL0000000004,,ZSITOC200816,FL0000000004QMGREASDATI1,ABQMGR
FL0000000005,,GSITOG201602,FL0000000005LBLM1SA,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005QMGREASDATI3,ABQMGR
FL0000000005,,GSITOG201602,FL0000000005QMGREASDATI7,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005QMGREASDATI9,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005QMGREASVIRTUALE1,ABQMGR
FL0000000015,,ZSITOL201601,FL0000000015LBLM1SA,ABQMGR
FL0000000015,,ZSITOASNDA01,FL0000000015LBLM2SA,ABQMGR
FL0000000017,,GSITOG201602,FL0000000017QMGR_SIS_31000,ABQMGR
FL0000000019,,ZSITOC200816,FL0000000019QMGREASDATI6,ABQMGR
FL0000000019,,GSITOG200806,FL0000000019QMGREASDATI6,ABQMGR
FL0000000004,,ZSITOE200801,FL0000000004QMGREASDATI1,ABQMGR
FL0000000004,,ZSITOE200802,FL0000000004QMGREASDATI4,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005LBLM1SA,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005QMGREASDATI2,ABQMGR
FL0000000005,,GSITOG201602,FL0000000005QMGREASDATI3,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005QMGREASDATI4,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005QMGREASDATI4,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005QMGREASDATI7,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005QMGREASDATI9,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005QMGREASVIRTUALE1,ABQMGR
FL0000000015,,ZSITOL201602,FL0000000015LBLM1SA,ABQMGR
FL0000000015,,ZSITOASNDA01,FL0000000015LBLM1SA,ABQMGR
FL0000000017,,GSITOG201604,FL0000000017M2SA,ABQMGR
FL0000000019,,ZSITOG200801,FL0000000019QMGREASVIRTUALE2,ABQMGR
FL0000000019,,GSITOG200806,FL0000000019QMGREASVIRTUALE2,ABQMGR
FL0000000004,,ZSITOASNDA01,FL0000000004LBLM2SA,ABQMGR
FL0000000004,,ZSITOASNDA01,FL0000000004QMGREASDATI4,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005QMGREASDATI7,ABQMGR
FL0000000005,,GSITOG201602,FL0000000005QMGREASVIRTUALE1,ABQMGR
FL0000000015,,ZSITOASNDA01,FL0000000015QMGREASDATI3,ABQMGR
FL0000000017,,GSITOG201602,FL0000000017M2SA,ABQMGR
FL0000000017,,ZSITOL201602,FL0000000017QMGRSMIDATI3,ABQMGR
FL0000000017,,GSITOG201602,FL0000000017QMGRSMIDATI5,ABQMGR
FL0000000018,,ZSITOASNDA01,FL0000000018QMCT,ABQMGR
FL0000000004,,GSITOG201602,FL0000000004LBLM1SA,ABQMGR
FL0000000004,,ZSITOE200801,FL0000000004QMGREASDATI4,ABQMGR
FL0000000004,,ZSITOC200816,FL0000000004QMGREASDATI4,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005LBLM2SA,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005LBLM2SA,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005QMGREASDATI2,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005QMGREASDATI3,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005QMGREASDATI3,ABQMGR
FL0000000005,,ZSITOG200801,FL0000000005QMGREASVIRTUALE1,ABQMGR
FL0000000015,,USITOC200812,FL0000000015LBLM2SA,ABQMGR
FL0000000015,,ZSITOL201601,FL0000000015QMGREASDATI3,ABQMGR
FL0000000015,,ZSITOASNDA01,FL0000000015QMGREASVIRTUALE3,ABQMGR
FL0000000015,,USITOC200812,FL0000000015QMGREASVIRTUALE3,ABQMGR
FL0000000017,,GSITOG201604,FL0000000017QMGR_SIS_31000,ABQMGR
FL0000000019,,ZSITOG200801,FL0000000019QMGR_SIS_55555,ABQMGR
FL0000000004,,ZSITOC200816,FL0000000004LBLM2SA,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005QMGREASDATI7,ABQMGR
FL0000000015,,USITOC200812,FL0000000015LBLM1SA,ABQMGR
FL0000000015,,ZSITOASNDA01,FL0000000015QMGREASDATI5,ABQMGR
FL0000000017,,ZSITOL201602,FL0000000017M1SA,ABQMGR
FL0000000017,,GSITOG201602,FL0000000017QMGREASVIRTUALE3,ABQMGR
FL0000000017,,GSITOG201602,FL0000000017QMGRSMIDATI3,ABQMGR
FL0000000017,,GSITOG201604,FL0000000017QMGRSMIDATI5,ABQMGR
FL0000000019,,ZSITOC200816,FL0000000019QMGREASDATI8,ABQMGR
FL0000000019,,ZSITOC200816,FL0000000019QMGREASVIRTUALE2,ABQMGR
FL0000000004,,ZSITOE200802,FL0000000004LBLM1SA,ABQMGR
FL0000000004,,ZSITOASNDA01,FL0000000004QMGREASDATI1,ABQMGR
FL0000000004,,GSITOG201602,FL0000000004QMGREASDATI4,ABQMGR
FL0000000005,,GSITOG201606,FL0000000005LBLM1SA,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005LBLM1SA,ABQMGR
FL0000000005,,FSITODSNDA01,FL0000000005LBLM2SA,ABQMGR
FL0000000005,,GSITOG201602,FL0000000005QMGREASDATI4,ABQMGR
FL0000000015,,ZSITOL201602,FL0000000015LBLM2SA,ABQMGR
FL0000000015,,ZSITOL201601,FL0000000015LBLM2SA,ABQMGR
FL0000000015,,ZSITOL201602,FL0000000015QMGREASDATI5,ABQMGR
FL0000000015,,ZSITOL201601,FL0000000015QMGREASDATI5,ABQMGR
FL0000000015,,ZSITOL201602,FL0000000015QMGREASVIRTUALE3,ABQMGR
FL0000000015,,ZSITOL201601,FL0000000015QMGREASVIRTUALE3,ABQMGR
FL0000000017,,ZSITOL201602,FL0000000017QMGREASVIRTUALE3,ABQMGR
