LSiteId,LSiteName,Pool_Id,Pool_Label,Client/Server,Max_Active,Abi,Is_Inert,Is_Empty
9,SITOG2008,JSITOGWC001,JSITOG.WC001,client,1,SITOG,inert,empty
4,SITOD2008,JSITODWC001,JSITOD.WC001,client,1,SITOD,noninert,empty
1,SITOA2008,JSITOAWS009,JSITOA.WS009,server,1,SITOA,noninert,nonemtpy
1,SITOA2008,JSITOAWC005,JSITOA.WC005,client,1,SITOA,noninert,nonemtpy
8,88517TEST,J88517WS005,J88517.WS005,server,1,88517,inert,empty
8,88517TEST,J88517WS003,J88517.WS003,server,1,88517,noninert,nonemtpy
8,88517TEST,J88517WC005,J88517.WC005,client,1,88517,noninert,empty
8,88517TEST,J88517WC003,J88517.WC003,client,1,88517,noninert,nonemtpy
8,88517TEST,J88517WC001,J88517.WC001,client,1,88517,noninert,nonemtpy
8,88517TEST,J88517WS002,J88517.WS002,server,1,88517,noninert,nonemtpy
