Client_NetCode,Server_NetCode,ApplCode,Env,Service,Client_LSiteId,Client_LSiteName,Server_LSiteId,Server_LSiteName,Client_Pool,Client_FemsWs,Client_Host,Server_Pool,Server_FemsWs,Server_Host,Service_Id,WebServer,UrlPath,SoapAction
88888,77777,NDP02,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00201,[] 172.31.251.182:9443,RTFemsWS,RT
88888,77777,NDP04,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00202,[] 172.31.251.182:9443,CCPFemsWS,Attiva
77777,88888,NDP01,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00101,[] 10.79.20.32:443,webservices/fesp,nodoInviaRPT
10000,10008,HAP01,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00305,[LAIV02] ABserver:1420,ABServerSIA/InvalidUrl,no
10000,10018,HAP01,PR,WT,8,88517TEST,1,SITOA2008,J88517.WC003,J88517EC003P,HSITOG201610,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00305,[LAIV02] ABserver:1420,ABServerSIA/InvalidUrl,no
10000,10007,HAP01,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00301,[LAIV02] ABserver:1420,ABServerSIA/Mirror,nulla
10000,10017,HAP01,PR,WT,8,88517TEST,1,SITOA2008,J88517.WC003,J88517EC003P,HSITOG201610,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00301,[LAIV02] ABserver:1420,ABServerSIA/Mirror,nulla
10000,10002,HAP01,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00302,[LAIV02] ABserver:1420,ABServerSIA/BadHeaderMirror,no
10000,10012,HAP01,PR,WT,8,88517TEST,1,SITOA2008,J88517.WC003,J88517EC003P,HSITOG201610,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00302,[LAIV02] ABserver:1420,ABServerSIA/BadHeaderMirror,no
10000,10005,HAP01,PR,WT,1,SITOA2008,1,SITOA2008,JSITOA.WC005,JSITOAEC005P,ZSITOG201601,JSITOA.WS009,JSITOAES009P,GSITOG201602,WSSITOG00303,[LAIV02] ABserver:1420,ABServerSIA/InvalidSoapResponse,no
